rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split0_train_score
1,-0.3420816693761329,0.0,-0.3571463497660456,0.0,0.10572576522827148,0.0,0.0017933845520019531,0.0,0.001,{'model__alpha': 0.001},-0.3420816693761329,-0.3571463497660456
2,-0.34219409666809353,0.0,-0.35709559080942777,0.0,0.03308510780334473,0.0,0.0015537738800048828,0.0,0.0001,{'model__alpha': 0.0001},-0.34219409666809353,-0.35709559080942777
3,-0.3433675602786816,0.0,-0.3591593179955365,0.0,0.02806234359741211,0.0,0.0018963813781738281,0.0,0.01,{'model__alpha': 0.01},-0.3433675602786816,-0.3591593179955365
4,-0.3790871337882025,0.0,-0.4004357367889154,0.0,0.007477998733520508,0.0,0.0016491413116455078,0.0,0.1,{'model__alpha': 0.1},-0.3790871337882025,-0.4004357367889154
5,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006563425064086914,0.0,0.0016932487487792969,0.0,1,{'model__alpha': 1},-0.9077637051865229,-0.9999999999999999
5,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.005506038665771484,0.0,0.0015490055084228516,0.0,10,{'model__alpha': 10},-0.9077637051865229,-0.9999999999999999
5,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.005517244338989258,0.0,0.0015101432800292969,0.0,100,{'model__alpha': 100},-0.9077637051865229,-0.9999999999999999
5,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.005324363708496094,0.0,0.0015108585357666016,0.0,1000,{'model__alpha': 1000},-0.9077637051865229,-0.9999999999999999
5,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.005699872970581055,0.0,0.0015828609466552734,0.0,10000,{'model__alpha': 10000},-0.9077637051865229,-0.9999999999999999
